DC1---DC1	p-value: 0.79143
CSPG4---C1QA	0.000015
COL6A2---ITGA1	0.000015
COL13A1---FN1	0.000015
ERBB2---HLA-A	0.000015
HGF---SDC1	0.000015
ITGA3---CALR	0.000014
PTMA---VIPR1	0.000014
HSP90AA1---FGFR3	0.000014
APP---NCSTN	0.000014
SDC4---TGM2	0.000013
ITGA4---FN1	0.000013
ITGB2---CYR61	0.000013
PLTP---ABCA1	0.000013
LRP1---C1QB	0.000013
LEPR---APOD	0.000013
ADAM12---SDC4	0.000012
ITGA11---COL3A1	0.000012
LAMA5---BCAM	0.000012
ITGA2---COL1A2	0.000012
COL3A1---DDR1	0.000012
CCR5---CCL3	0.000012
FPR1---ANXA1	0.000012
ABCA1---PLTP	0.000012
FN1---ITGA2B	0.000012
RPSA---LAMA1	0.000012
SDC2---HGF	0.000012
ITGA1---COL4A1	0.000012
HLA-C---LILRB2	0.000011
CCL18---C14orf1	0.000011
COL18A1---GPC4	0.000011
PRLR---CSH1	0.000011
LRP1---SERPING1	0.000011
LRPAP1---LRP1	0.000011
COL1A1---ITGA1	0.000011
TGFB1---EGFR	0.000011
ITGB1---COL5A1	0.000011
HMGB1---THBD	0.000011
ITGA4---CD14	0.000011
ITGB1---ADAM9	0.000010
PDGFRB---PDAP1	0.000010
CXCL8---ACKR1	0.000010
GPC1---APP	0.000010
TNC---ITGB1	0.000010
IL1R1---IL1RN	0.000010
SDC1---MDK	0.000010
HLA-B---LILRB2	0.000009
FLT1---PIGF	0.000009
COL4A1---ITGAV	0.000009
ITGA11---COL1A1	0.000009
CD93---COL4A1	0.000008
SDC4---MDK	0.000008
SDC1---PTN	0.000008
CTGF---ITGAM	0.000008
EBI3---IL6ST	0.000007
INHBA---ENG	0.000007
ITGB3---FN1	0.000007
LRP1---SERPINE1	0.000007
CD44---LGALS9	0.000007
IGF2---IDE	0.000007
APP---TNFRSF21	0.000006
CCR1---CCL4	0.000006
CAV1---BST1	0.000006
EGFR---TGFB1	0.000005
CD99---PILRA	0.000005
TNFRSF1B---GRN	0.000004
MMP12---PLAUR	0.000003
IL1R2---IL1RN	0.000003
LRP5---APOE	0.000002
LRPAP1---SORL1	0.000002
ITGB2---CTGF	0.000001
CCR1---CCL2	0.000001
ITGB1---LAMC1	0.000001

un_annoted---dM1	q-value: 0.79143

Ligand---Receptor	contribution
ITGB1---SPP1	0.144891
TIMP1---CD63	0.110234
CD44---SPP1	0.049857
VIM---CD44	0.037703
REN---ATP6AP2	0.034141
CD63---TIMP1	0.025595
ITGA5---SPP1	0.024270
APP---CD74	0.023127
APLP2---HLA-A	0.015765
CANX---HLA-B	0.014900
CD44---VIM	0.011854
RPS19---C5AR1	0.011399
HLA-B---KLRD1	0.010674
ITGB1---FBLN1	0.009354
CYR61---ITGB2	0.008500
SPP1---ITGB1	0.008093
HLA-A---APLP2	0.007339
COL1A1---CD44	0.007291
ITGAV---SPP1	0.007074
FBLN1---ITGB1	0.006431
SPP1---CD44	0.005840
ITGB1---FN1	0.005664
COL1A2---CD44	0.005631
COL1A1---ITGB1	0.005617
HLA-C---KIR2DL3	0.005121
VCAN---CD44	0.004815
HLA-E---KLRC1	0.004771
ITGB1---COL4A1	0.004176
COL1A2---ITGB1	0.003895
SPP1---ITGA5	0.003675
DCN---EGFR	0.003573
ALB---B2M	0.003543
FN1---ITGB1	0.003362
PLA2G2A---ITGB1	0.003236
HLA-B---CANX	0.003062
COL3A1---ITGB1	0.002599
FN1---PLAUR	0.002554
FN1---CD44	0.002487
CYR61---ITGA5	0.002451
COL1A1---ITGA5	0.002329
HLA-C---KIR2DL1	0.002326
COL4A1---ITGB1	0.002306
COL1A1---CD36	0.002262
ITGB1---CD14	0.002237
COL6A2---ITGB1	0.001946
VCAN---ITGB1	0.001946
S1PR1---SPP1	0.001912
COL1A2---CD36	0.001745
CTGF---ITGB2	0.001676
LGALS3BP---ITGB1	0.001654
FN1---ITGA5	0.001633
ITGB1---COL6A2	0.001612
ITGB1---PLAUR	0.001554
HLA-E---KLRD1	0.001542
CD44---FN1	0.001456
TGM2---ITGB1	0.001439
APOE---SORL1	0.001433
CD47---TYROBP	0.001373
COL18A1---ITGB1	0.001366
ACKR1---CXCL8	0.001303
ACKR1---CCL5	0.001302
HLA-G---KLRC1	0.001283
FLT1---PGF	0.001279
ITGB1---VCAN	0.001221
ITGB1---COL4A2	0.001179
THY1---ITGB2	0.001080
LDLR---APOE	0.001067
COL4A2---ITGB1	0.001061
SPP1---ITGAV	0.001042
INSR---IGF2	0.001017
ITGB1---LGALS3BP	0.001016
LRP1---APOE	0.001012
FN1---SDC2	0.001010
SDC2---FN1	0.000892
ITGA5---CYR61	0.000885
B2M---ALB	0.000870
LAMB2---RPSA	0.000838
PGF---FLT1	0.000803
SDC2---MMP2	0.000770
ITGB1---ADAM12	0.000764
COL6A3---ITGB1	0.000705
CAV1---GNAI2	0.000687
APOE---LRP1	0.000641
INSR---ARF1	0.000625
ITGB1---COL1A2	0.000624
TNFRSF1A---LTB	0.000608
ACKR2---CCL3	0.000540
ITGA5---FN1	0.000513
SCARB1---APOE	0.000505
IL15---IL2RB	0.000493
DCN---MET	0.000484
HLA-A---KIR3DL2	0.000445
HLA-B---KIR3DL1	0.000419
NRP1---PGF	0.000416
ERBB2---HLA-A	0.000407
HLA-G---KLRD1	0.000401
APOE---LRP2	0.000398
HLA-A---KIR3DL1	0.000396
IL1R1---IL1B	0.000387
IGF2R---GZMB	0.000384
LRP1---C1QB	0.000384
RAMP2---ADM	0.000371
PLA2G2A---ITGA5	0.000367
HSP90AA1---EGFR	0.000365
LRP1---PSAP	0.000364
PLA2G2A---ITGA4	0.000356
CYR61---ITGAV	0.000352
SERPING1---LRP1	0.000349
FN1---ITGB7	0.000335
LAMA2---RPSA	0.000310
FN1---ITGAV	0.000302
ITGB1---F13A1	0.000302
ITGA9---SPP1	0.000295
CD14---ITGB1	0.000292
FN1---ITGB5	0.000286
CD93---C1QA	0.000285
ITGB3---SPP1	0.000281
PLAUR---FN1	0.000277
CD44---VCAN	0.000274
THBD---HMGB1	0.000273
ITGB1---TGM2	0.000272
APOE---LRP8	0.000272
ANXA1---FPR3	0.000270
COL6A1---ITGB1	0.000268
INSR---NAMPT	0.000267
ITGB1---COL3A1	0.000266
TNFRSF1A---GRN	0.000264
ACKR2---CCL4	0.000262
ITGA4---SPP1	0.000258
MMP2---SDC2	0.000237
HLA-G---KIR2DL4	0.000229
CTGF---ITGA5	0.000225
C3---ITGB2	0.000224
CYR61---ITGAM	0.000205
TFPI---LRP1	0.000205
APOE---LDLR	0.000199
APOE---LRP5	0.000199
SDC2---TGFB1	0.000193
FN1---ITGB6	0.000189
EGFR---HSP90AA1	0.000183
APP---CAV1	0.000178
C5AR1---RPS19	0.000172
ANXA1---EGFR	0.000170
SDC4---CCL5	0.000165
CAV1---APP	0.000161
CYR61---ITGB5	0.000156
IL1R2---IL1B	0.000154
MDK---SDC4	0.000153
CTGF---ITGAM	0.000149
COL3A1---DDR1	0.000148
LRP1---TFPI	0.000145
ITGB1---COL1A1	0.000144
ITGB1---ADAM15	0.000143
CD44---COL1A1	0.000142
CXCL12---CXCR4	0.000141
SERPINE2---LRP1	0.000139
LTBR---LTB	0.000137
EGFR---ANXA1	0.000135
HLA-B---LILRB2	0.000134
DKK1---LRP6	0.000130
CD44---MMP9	0.000130
IGF2---INSR	0.000128
COL18A1---GPC1	0.000128
EGFR---DCN	0.000122
VLDLR---APOE	0.000118
LRP5---APOE	0.000117
COL1A1---DDR1	0.000116
HLA-A---LILRB1	0.000116
VCAN---EGFR	0.000114
CXCL12---ITGB1	0.000112
TYROBP---CD47	0.000109
PLAUR---MMP12	0.000109
APOE---VLDLR	0.000108
CD44---COL1A2	0.000106
COL18A1---ITGA5	0.000102
TRAF2---GSTP1	0.000101
EFEMP1---EGFR	0.000098
IGF2---IGF2R	0.000092
SELE---CD44	0.000092
LRP1---CALR	0.000090
VIPR1---PTMA	0.000090
HLA-A---LILRB2	0.000087
FN1---ITGB8	0.000081
TNFRSF1A---TNF	0.000080
C3---CD46	0.000079
HLA-C---LILRB2	0.000078
COL1A2---CD93	0.000078
PLAUR---ITGB1	0.000078
ITGB1---COL6A1	0.000076
IL1RAP---IL1B	0.000075
FN1---ITGA3	0.000073
MDK---SDC3	0.000072
COL1A1---CD93	0.000070
ADAM15---ITGB1	0.000069
SPP1---ITGA4	0.000069
IGF1R---IGF2	0.000069
MIF---TNFRSF14	0.000069
CCL2---CCR1	0.000068
IDE---IGF2	0.000068
KLRD1---HLA-B	0.000065
CAV1---PTGS2	0.000064
MDK---LRP1	0.000063
CCR1---CCL4	0.000063
CXCL10---DPP4	0.000062
THBS1---CD47	0.000062
EGFR---AREG	0.000060
ACKR1---CCL2	0.000059
CXCL13---CXCR3	0.000056
MDK---SDC1	0.000055
JAM2---ITGB1	0.000052
HMGB1---THBD	0.000051
TGFB1---ENG	0.000049
COL1A2---ITGA1	0.000049
CD36---COL1A2	0.000048
THBS1---ITGB1	0.000048
IL15---IL2RG	0.000047
TNFRSF21---TNF	0.000047
CXCL10---SDC4	0.000046
COL4A2---CD93	0.000045
VCAM1---ITGB2	0.000045
ITGB5---FN1	0.000045
CCL21---CXCR3	0.000044
LAMA1---RPSA	0.000044
CALCRL---ADM	0.000043
GPR37---PSAP	0.000043
CCL18---CCR1	0.000043
KDR---TIMP3	0.000043
TFPI---VLDLR	0.000042
PSAP---LRP1	0.000041
LEPR---APOD	0.000040
VCAM1---ITGB1	0.000040
THY1---ITGAX	0.000039
LAMC1---ITGB1	0.000039
FN1---ITGA2	0.000038
COL3A1---ITGA1	0.000038
DPP4---CXCL2	0.000036
APOD---LEPR	0.000035
COL18A1---ITGA1	0.000035
CTGF---LRP1	0.000032
EGFR---EREG	0.000032
IDE---CCL3	0.000032
ITGB2---CYR61	0.000032
OSMR---OSM	0.000032
CLEC2B---KLRF1	0.000032
CCL3---IDE	0.000031
TNFRSF1A---LTA	0.000031
THBS1---SDC1	0.000031
CLEC2D---KLRB1	0.000031
RPSA---LAMA2	0.000030
ENG---BMP7	0.000029
NRP2---PGF	0.000028
ICAM1---ITGB2	0.000028
ACKR1---CXCL1	0.000028
LRPAP1---LRP1	0.000028
F13A1---ITGB1	0.000027
CD40---LTB	0.000027
IL6ST---IL6	0.000026
CCR3---CCL4	0.000026
GPC3---CD81	0.000026
PLAU---PLAUR	0.000025
HSPG2---ITGB1	0.000024
FN1---NT5E	0.000023
CD151---MMP7	0.000023
FLT1---VEGFA	0.000023
CD74---APP	0.000023
DKK1---KREMEN2	0.000023
INHBA---ENG	0.000022
FPR1---ANXA1	0.000020
ANXA1---FPR1	0.000019
HLA-B---LILRB1	0.000019
IGF2---IGF1R	0.000018
DKK1---LRP5	0.000017
IL1R2---IL1RN	0.000017
LRPAP1---SORL1	0.000016
HLA-C---LILRB1	0.000014
APOE---SCARB1	0.000014
PGF---NRP1	0.000013
HLA-A---ERBB2	0.000013
ICAM1---ITGAX	0.000013
EGFR---TGFB1	0.000011
CD44---MMP7	0.000011
CSPG4---C1QA	0.000010
C3---C3AR1	0.000010
IGF2---IDE	0.000008
GNAI2---CAV1	0.000006
THBS1---CD36	0.000004

un_annoted---dM2	q-value: 0.79143

Ligand---Receptor	contribution
TIMP1---CD63	0.109019
CD63---TIMP1	0.047243
VIM---CD44	0.039483
APP---CD74	0.038145
APLP2---HLA-A	0.018507
REN---ATP6AP2	0.014998
RPS19---C5AR1	0.013676
CANX---HLA-B	0.013256
ITGB1---FBLN1	0.012713
ITGB1---SPP1	0.012435
ITGB1---COL1A1	0.012378
CD44---VIM	0.011830
CYR61---ITGB2	0.011434
ACKR1---CXCL8	0.010576
FBLN1---ITGB1	0.010309
COL1A1---ITGB1	0.009359
SPP1---ITGB1	0.008607
ITGB1---COL3A1	0.007820
COL1A1---CD44	0.007746
HLA-B---KLRD1	0.007336
COL1A2---ITGB1	0.006821
COL1A2---CD44	0.006722
ALB---B2M	0.006649
HLA-A---APLP2	0.005342
TGM2---ITGB1	0.005209
ATP6AP2---REN	0.004671
HLA-E---KLRC1	0.004622
COL6A2---ITGB1	0.004616
ITGB1---PLAUR	0.004567
ITGB1---FN1	0.004522
IGF2---INSR	0.004511
VCAN---ITGB1	0.004510
FN1---ITGB1	0.004442
HLA-C---KIR2DL3	0.004421
COL3A1---ITGB1	0.004400
CYR61---ITGA5	0.004167
PLA2G2A---ITGB1	0.003801
CTGF---ITGB2	0.003570
COL1A1---ITGA5	0.003415
HLA-B---CANX	0.003169
SPP1---CD44	0.003161
COL4A1---ITGB1	0.003110
B2M---ALB	0.003092
VCAN---CD44	0.002990
CD44---SPP1	0.002904
COL1A1---ITGA1	0.002880
ITGB1---COL4A1	0.002857
CD44---COL1A1	0.002726
CD47---TYROBP	0.002691
THY1---ITGB2	0.002668
HLA-C---KIR2DL1	0.002596
ITGB1---TGM2	0.002283
LGALS3BP---ITGB1	0.002157
INSR---IGF2	0.001898
FN1---PLAUR	0.001731
PGF---FLT1	0.001626
CCL21---CXCR3	0.001567
FN1---CD44	0.001525
COL18A1---ITGB1	0.001521
ITGB1---CD14	0.001504
LDLR---APOE	0.001447
ACKR2---CCL4	0.001443
PLA2G2A---ITGA5	0.001404
COL4A2---ITGB1	0.001386
COL6A1---ITGB1	0.001354
CD44---FN1	0.001329
IL15---IL2RB	0.001328
SPP1---S1PR1	0.001297
APOE---SORL1	0.001266
ITGA5---COL1A1	0.001235
CD93---C1QA	0.001145
COL6A3---ITGB1	0.001107
TIMP3---KDR	0.001104
APOE---LDLR	0.001096
ARF1---INSR	0.001034
SDC2---FN1	0.001024
CXCL12---CXCR4	0.001007
DCN---EGFR	0.001001
ITGA5---SPP1	0.000981
ITGA9---SPP1	0.000970
COL1A2---ITGA1	0.000945
KDR---TIMP3	0.000935
VLDLR---APOE	0.000935
ITGB1---LGALS3BP	0.000879
C3---ITGB2	0.000866
HLA-B---KIR3DL1	0.000859
COL1A1---CD93	0.000771
HLA-A---KIR3DL1	0.000732
S1PR1---SPP1	0.000718
THBD---HMGB1	0.000689
CYR61---ITGAM	0.000679
TIMP2---ITGB1	0.000642
ITGAV---SPP1	0.000635
ADM---RAMP2	0.000630
FN1---ITGA5	0.000610
COL1A2---CD93	0.000606
PLAUR---ITGB1	0.000601
IL1R2---IL1B	0.000574
SPP1---ITGA5	0.000567
CTGF---ITGA5	0.000541
COL1A1---CD36	0.000534
PRLR---CSH1	0.000520
PLAUR---FN1	0.000515
COL18A1---ITGA5	0.000512
ICAM1---ITGB2	0.000509
APOE---SCARB1	0.000467
CD36---COL1A1	0.000457
HLA-B---LILRB1	0.000436
IGF2R---GZMB	0.000433
SPP1---ITGAV	0.000432
INSR---NAMPT	0.000405
HLA-C---LILRB2	0.000388
LRP1---C1QB	0.000387
ITGB1---TIMP2	0.000370
ITGB1---VCAN	0.000366
ITGB1---COL6A2	0.000362
LRP5---APOE	0.000362
CD14---ITGB1	0.000361
CCL21---CCR7	0.000359
HLA-E---KLRD1	0.000350
IL1R1---IL1B	0.000345
ACKR1---CCL2	0.000339
COL1A2---CD36	0.000311
SDC2---MMP2	0.000301
RAMP2---ADM	0.000300
CCL2---CCR1	0.000300
VCAN---TLR2	0.000297
IL6ST---EBI3	0.000278
LRP1---APOE	0.000272
ACKR1---CCL5	0.000271
THBS1---ITGB1	0.000267
ERBB2---HLA-A	0.000267
NRP1---PGF	0.000263
PLA2G2A---ITGA4	0.000262
IDE---IGF2	0.000259
COL3A1---ITGA1	0.000257
CAV1---PTGS2	0.000255
APOE---LRP1	0.000242
HLA-G---KLRC1	0.000240
EFEMP1---EGFR	0.000240
GSTP1---TRAF2	0.000233
ACKR2---CCL3	0.000233
HLA-A---LILRB2	0.000231
THY1---ITGAX	0.000221
TFPI---LRP1	0.000207
LRPAP1---SORL1	0.000204
FN1---ITGA4	0.000203
FN1---ITGB5	0.000203
LRP1---SERPINE2	0.000199
ITGA2---COL1A1	0.000199
FLT1---PGF	0.000195
CALR---ITGA3	0.000194
ANXA1---EGFR	0.000180
HSP90AA1---EGFR	0.000180
FN1---SDC2	0.000179
GNAS---PTGDR	0.000179
SELE---CD44	0.000178
IGF1R---IGF2	0.000176
LRP1---CALR	0.000176
CALR---ITGAV	0.000172
EGFR---AREG	0.000172
CYR61---ITGAV	0.000166
INSR---ARF1	0.000164
CAV1---GNAI2	0.000162
EGFR---DCN	0.000161
COL4A2---CD93	0.000160
ADAM15---ITGA5	0.000159
CCL23---CCR1	0.000159
DKK1---LRP6	0.000155
HLA-B---LILRB2	0.000154
LRP1---PSAP	0.000154
ITGB1---F13A1	0.000151
APP---LRP1	0.000146
ADAM17---ITGB1	0.000146
COL4A1---ITGA1	0.000134
APOD---LEPR	0.000134
KLRD1---HLA-B	0.000133
GPR37---PSAP	0.000129
ADAM15---ITGB1	0.000124
FN1---ITGAV	0.000119
FN1---ITGB8	0.000119
ANXA1---FPR1	0.000119
EGFR---HSP90AA1	0.000110
RBP4---STRA6	0.000100
ENG---TGFB1	0.000094
CD99---PILRA	0.000075
JAM3---ITGB2	0.000067
F13A1---ITGB1	0.000047

un_annoted---dNK1	q-value: 0.79143

Ligand---Receptor	contribution
TIMP1---CD63	0.121264
ITGB1---SPP1	0.056357
CD63---TIMP1	0.051888
VIM---CD44	0.042499
APP---CD74	0.032657
APLP2---HLA-A	0.024471
REN---ATP6AP2	0.021297
CD44---SPP1	0.020610
CD44---VIM	0.017791
RPS19---C5AR1	0.015552
ITGB1---FN1	0.013500
CANX---HLA-B	0.011543
CYR61---ITGB2	0.009828
ITGA5---SPP1	0.009434
ITGB1---CD14	0.008755
HLA-B---KLRD1	0.007989
COL1A1---CD44	0.007883
SPP1---ITGB1	0.007303
ALB---B2M	0.006473
FBLN1---ITGB1	0.005981
COL1A1---ITGB1	0.005849
COL1A2---CD44	0.005699
VCAN---CD44	0.005088
ITGB1---PLAUR	0.004960
HLA-C---KIR2DL3	0.004851
SDC2---FN1	0.004466
HLA-E---KLRC1	0.004093
CD44---FN1	0.004013
SPP1---CD44	0.004003
FN1---PLAUR	0.003890
HLA-A---APLP2	0.003663
COL1A2---ITGB1	0.003575
FN1---CD44	0.003537
FN1---ITGB1	0.003369
ACKR1---CXCL8	0.003264
SPP1---ITGA5	0.003168
ITGB1---FBLN1	0.003151
COL3A1---ITGB1	0.003009
HLA-B---CANX	0.002693
INSR---IGF2	0.002428
VCAN---ITGB1	0.002276
ITGAV---SPP1	0.002254
CTGF---ITGB2	0.002230
PLA2G2A---ITGB1	0.002208
HLA-C---KIR2DL1	0.002140
LGALS3BP---ITGB1	0.002086
PLAUR---FN1	0.002062
ITGA5---FN1	0.002019
LDLR---APOE	0.001998
COL6A2---ITGB1	0.001961
ITGB1---COL1A1	0.001958
APOE---SORL1	0.001888
COL18A1---ITGB1	0.001871
ITGB1---TGM2	0.001863
ITGB1---COL4A1	0.001706
LRP1---APOE	0.001693
IL1R1---IL1B	0.001656
CYR61---ITGA5	0.001618
TGM2---ITGB1	0.001616
CD47---TYROBP	0.001602
COL1A1---ITGA5	0.001570
CAV1---GNAI2	0.001503
CCL2---ACKR1	0.001457
COL1A1---CD93	0.001382
FN1---ITGA5	0.001381
ITGB1---PLA2G2A	0.001305
THY1---ITGB2	0.001283
COL4A1---ITGB1	0.001252
LRP1---C1QB	0.001199
PGF---FLT1	0.001163
ITGB1---COL1A2	0.001053
CXCL13---CXCR3	0.001035
HLA-E---KLRD1	0.001020
ITGB1---COL6A2	0.001005
CAV1---APP	0.001004
CXCL8---ACKR1	0.000989
ITGB1---HSPG2	0.000977
COL1A2---CD93	0.000868
COL4A2---ITGB1	0.000803
CXCL12---CXCR4	0.000797
APOD---LEPR	0.000772
ITGB1---TIMP2	0.000751
ACKR1---CCL5	0.000720
HLA-E---KLRC2	0.000699
CAV1---PTGS2	0.000686
HLA-A---KIR3DL1	0.000668
ADM---RAMP2	0.000665
COL6A3---ITGB1	0.000638
ITGB1---COL6A1	0.000633
KLRD1---HLA-B	0.000633
ITGB1---COL3A1	0.000630
B2M---ALB	0.000617
IL15---IL2RB	0.000616
C3---ITGB2	0.000590
APOE---LRP1	0.000530
EGFR---AREG	0.000515
CD44---COL1A1	0.000510
CD14---ITGB1	0.000500
MMP12---PLAUR	0.000487
S1PR1---SPP1	0.000485
LRP1---SERPINE2	0.000476
SPP1---S1PR1	0.000476
COL1A1---CD36	0.000475
ITGB1---VCAN	0.000469
HLA-A---KIR3DL2	0.000432
COL1A1---ITGA1	0.000416
ITGB1---F13A1	0.000413
INSR---ARF1	0.000391
IL15---IL2RG	0.000389
CYR61---ITGAM	0.000388
KLRC1---HLA-E	0.000388
IL1R2---IL1B	0.000374
ITGB1---LGALS3BP	0.000361
INSR---NAMPT	0.000355
CTGF---ITGA5	0.000351
IGF2R---GZMB	0.000335
SPP1---ITGA4	0.000323
SPP1---ITGAV	0.000318
GNAS---PTGDR	0.000314
ITGB8---FN1	0.000303
COL1A2---CD36	0.000302
HLA-B---KIR3DL1	0.000301
TYROBP---CD47	0.000283
HLA-A---LILRB2	0.000283
APP---CAV1	0.000280
ERBB2---HLA-A	0.000272
ICAM1---IL2RG	0.000264
SCARB1---APOE	0.000260
FN1---ITGB5	0.000259
ACKR2---CCL3	0.000257
CYR61---ITGAV	0.000256
ITGB1---COL6A3	0.000253
SDC2---TGFB1	0.000246
COL14A1---ITGB1	0.000243
ACKR2---CCL4	0.000242
FN1---ITGB7	0.000240
APOE---LDLR	0.000227
CCR1---CCL4	0.000226
ICAM1---ITGB2	0.000224
LAMB2---RPSA	0.000224
THY1---ITGAX	0.000215
THBD---HMGB1	0.000214
ACKR1---CXCL1	0.000214
ANXA1---FPR3	0.000213
ACKR2---CCL3L3	0.000212
CLEC2D---KLRB1	0.000210
HLA-G---KLRD1	0.000208
COL6A1---ITGB1	0.000207
HLA-G---KLRC1	0.000205
VCAN---ITGA4	0.000204
IDE---IGF2	0.000201
LRP1---PSAP	0.000196
ITGB1---ADAM12	0.000194
COL18A1---ITGA5	0.000194
CD44---COL1A2	0.000192
COL1A2---ITGA1	0.000191
TNFRSF1A---GRN	0.000190
PLAUR---ITGB1	0.000185
KLRD1---HLA-E	0.000181
DPP4---CXCL2	0.000181
ITGB1---THBS1	0.000174
SERPINE2---LRP1	0.000173
THBS1---ITGB1	0.000169
FN1---ITGB8	0.000164
FLT1---PGF	0.000161
FN1---ITGA3	0.000158
COL18A1---ITGA1	0.000157
FN1---ITGA4	0.000154
EGFR---DCN	0.000153
DKK1---LRP5	0.000153
KDR---TIMP3	0.000151
CD93---C1QA	0.000151
ANXA1---FPR1	0.000151
SEMA6D---TYROBP	0.000149
ITGA2---FN1	0.000145
CSPG4---C1QA	0.000143
COL14A1---CD44	0.000143
VCAM1---ITGB2	0.000143
IDE---CCL3	0.000143
IGF2R---IGF2	0.000142
ERBB3---AREG	0.000141
ADM---CALCRL	0.000140
ITGB3---SPP1	0.000138
IGF1R---IGF2	0.000132
PGF---NRP1	0.000131
FN1---SDC2	0.000131
ITGA5---COL1A1	0.000129
CD44---VCAN	0.000128
TNFRSF1A---TNF	0.000126
IL1RAP---IL1B	0.000126
HLA-A---LILRB1	0.000123
CLEC2B---KLRF1	0.000120
HLA-B---LILRB2	0.000118
HGF---CD44	0.000117
ITGAV---PLAUR	0.000112
APOE---SCARB1	0.000112
PILRA---CD99	0.000110
DCN---EGFR	0.000110
RPSA---LAMB2	0.000110
VCAN---TLR2	0.000109
ACKR4---CCL5	0.000108
MMP2---SDC2	0.000108
CXCL12---ITGB1	0.000106
PLA2G2A---ITGA5	0.000105
MDK---SDC3	0.000105
LRP6---DKK1	0.000102
COL3A1---ITGA1	0.000100
ITGA3---FN1	0.000099
TNFRSF11B---FN1	0.000099
CD74---APP	0.000098
HMGB1---THBD	0.000098
CD14---ITGA4	0.000098
CTGF---LRP1	0.000095
FN1---NT5E	0.000093
LRPAP1---LDLR	0.000093
ITGA5---CYR61	0.000092
COL3A1---DDR1	0.000091
ITGB1---ADAM15	0.000090
PLAU---PLAUR	0.000082
ITGA4---SPP1	0.000081
LRP1---C3	0.000081
CCR1---CCL3	0.000080
SPP1---ITGA9	0.000079
COL4A1---CD93	0.000078
F2R---GNAI2	0.000074
CD44---LGALS9	0.000074
IL6---IL6ST	0.000073
LRP8---APOE	0.000072
FN1---ITGA9	0.000071
CAV1---BST1	0.000071
PSAP---LRP1	0.000070
FBN1---ITGA5	0.000070
IL6ST---OSM	0.000067
COL1A1---DDR1	0.000067
THY1---ITGAM	0.000067
SERPINE1---LRP1	0.000066
RAMP2---ADM	0.000065
DKK1---LRP6	0.000064
LAMA2---RPSA	0.000063
IL1R1---IL1RN	0.000063
HLA-A---ERBB2	0.000062
CD46---C3	0.000059
NT5E---FN1	0.000057
THBS1---ITGA4	0.000057
CXCL2---XCR1	0.000056
C3---C3AR1	0.000056
ENG---TGFB1	0.000056
LRP1---CALR	0.000052
LAMC1---ITGB1	0.000051
IGF2---INSR	0.000051
EGFR---HSP90AA1	0.000051
CALR---LRP1	0.000050
ITGB1---COL4A2	0.000050
LRP1---A2M	0.000050
PRLR---CSH1	0.000050
TIMP3---KDR	0.000049
HLA-C---LILRB1	0.000047
ITGB2---C3	0.000047
FN1---ITGA2	0.000045
LTBR---LTB	0.000042
ITGAV---CYR61	0.000041
COL4A2---CD93	0.000040
HLA-B---LILRB1	0.000039
IGF2---IDE	0.000038
LRPAP1---SORL1	0.000038
CTGF---ITGAM	0.000037
CCL21---CCR7	0.000037
SDC3---MDK	0.000034
APOE---LRP5	0.000032
ICAM2---ITGB2	0.000029
ITGB5---FN1	0.000028
C5AR1---RPS19	0.000025
CLEC4M---ICAM3	0.000024
RPSA---LAMA2	0.000021
IGF2---IGF1R	0.000018
MDK---SDC4	0.000015
F13A1---ITGB1	0.000011

un_annoted---dNK2	q-value: 0.79143

Ligand---Receptor	contribution
TIMP1---CD63	0.091619
VIM---CD44	0.074553
CD63---TIMP1	0.057628
ITGB1---SPP1	0.050177
APP---CD74	0.023356
APLP2---HLA-A	0.022210
CD44---SPP1	0.021040
HLA-B---KLRD1	0.020757
RPS19---C5AR1	0.019155
CANX---HLA-B	0.016178
ITGB1---FN1	0.015316
CD44---VIM	0.014296
COL1A1---CD44	0.013668
CYR61---ITGB2	0.012513
REN---ATP6AP2	0.012103
COL1A2---CD44	0.010539
HLA-E---KLRC1	0.009762
VCAN---CD44	0.009467
FBLN1---ITGB1	0.009263
ITGB1---PLAUR	0.006137
ALB---B2M	0.005474
ITGB1---CD14	0.005347
SDC2---FN1	0.005316
COL1A1---ITGB1	0.005237
ITGB1---FBLN1	0.005068
SPP1---ITGB1	0.004817
HLA-A---APLP2	0.004689
HLA-C---KIR2DL1	0.004631
CD44---FN1	0.004255
HLA-G---KLRC1	0.004229
FN1---CD44	0.004214
PLA2G2A---ITGB1	0.004164
SPP1---CD44	0.004032
CTGF---ITGB2	0.003948
HLA-C---KIR2DL3	0.003944
HLA-B---CANX	0.003915
ITGA5---SPP1	0.003729
COL1A2---ITGB1	0.003661
FN1---PLAUR	0.003528
LGALS3BP---ITGB1	0.003348
FN1---ITGB1	0.003278
COL3A1---ITGB1	0.003219
VCAN---ITGB1	0.003111
ACKR1---CXCL8	0.003022
COL6A2---ITGB1	0.002738
PLAUR---FN1	0.002691
ITGA5---FN1	0.002577
HLA-E---KLRD1	0.002467
TGM2---ITGB1	0.002454
COL18A1---ITGB1	0.002242
ACKR1---CCL5	0.002194
ITGAV---SPP1	0.002132
APOE---SORL1	0.002132
ITGB1---COL4A1	0.002079
COL4A1---ITGB1	0.002012
INSR---IGF2	0.001952
THY1---ITGB2	0.001771
CYR61---ITGA5	0.001750
