B-cell---B-cell	q-value: 1.7699e-08
LTB---CD40	0.011050
CXCL12---CXCR4	0.010438
CD40---LTB	0.009773
CCL21---CXCR3	0.008987
HLA-C---LILRB1	0.008683
HLA-A---APLP2	0.008675
HLA-B---KLRD1	0.007032
HLA-A---LILRB1	0.006863
KLRD1---HLA-E	0.006663
CD44---VIM	0.006488
CD52---SIGLEC10	0.006338
LILRB1---HLA-B	0.006211
LILRA4---BST2	0.005662
CD34---SELL	0.005420
PTPRC---CD22	0.005406
TYROBP---CD47	0.004011
GZMB---CHRM3	0.003930
LILRB2---HLA-B	0.003924
SIGLEC10---CD52	0.003817
CD79A---BTLA	0.003768
ITGB2---ICAM3	0.003761
CXCR3---CCL5	0.003327
KLRC2---HLA-E	0.003176
LILRB1---HLA-C	0.003168
CD22---PTPRC	0.002528
HLA-E---KLRD1	0.002495
TIMP1---CD63	0.002268
CXCL13---CXCR3	0.002117
LILRB2---HLA-C	0.001899
CCL5---CXCR3	0.001831
ICAM1---IL2RG	0.001817
MIF---TNFRSF14	0.001802
CR2---FCER2	0.001738
APP---NCSTN	0.001682
LY9---LY9	0.001658
CD47---TYROBP	0.001607
CD2---CD48	0.001439
KLRB1---CLEC2D	0.001432
FCER2---CR2	0.001423
LTB---TNFRSF1A	0.001402
SLAMF6---SLAMF6	0.001262
CD27---CD70	0.001260
LILRB1---HLA-A	0.001251
TRAF2---GSTP1	0.001174
BST2---LILRA4	0.001150
LILRB2---HLA-A	0.001137
SELL---SELPLG	0.001084
SLAMF7---SLAMF7	0.001004
FCER2---ITGB2	0.000879
LTBR---LTB	0.000780
ITGA4---ADAM28	0.000779
FCER2---ITGAX	0.000746
IL7R---IL7	0.000706
APOD---LEPR	0.000703
CD40LG---CD40	0.000690
ITGB2---F11R	0.000668
PTGDR---GNAS	0.000659
ITGAL---ICAM3	0.000649
CD244---CD48	0.000596
ICAM1---ITGAX	0.000537
APLP2---HLA-A	0.000526
CCL19---CXCR3	0.000498
CD48---CD244	0.000488
FCER2---ITGAM	0.000426
NCSTN---PSEN1	0.000322
CLEC2D---FAM3C	0.000264
C3---CD19	0.000253
TNFRSF14---MIF	0.000245
TNFRSF1A---TNF	0.000238
CD55---CD97	0.000237
GRN---TNFRSF1A	0.000229
TRAF2---TNF	0.000224
CD97---CD55	0.000218
CCR1---CCL5	0.000216
HBEGF---CD82	0.000214
LTBR---TNF	0.000194
FN1---CD44	0.000193
MFNG---NOTCH1	0.000191
PODXL---SELL	0.000190
IL2RG---IL7	0.000178
RPSA---PRND	0.000172
ICAM2---ITGB2	0.000164
ADAM9---ITGB1	0.000161
LGALS9---CD44	0.000138
CXCL12---ITGB1	0.000118
ICAM3---ITGB2	0.000118
LAMB2---RPSA	0.000080
LAMA2---RPSA	0.000062
KCNA3---IL16	0.000057
FN1---ITGB1	0.000056
CFH---SELL	0.000053
HP---ITGAM	0.000049
COL1A2---CD44	0.000049
VCAN---CD44	0.000032
FN1---ITGA5	0.000022
VCAM1---ITGA4	0.000021
C3---ITGAM	0.000019
PODXL2---SELL	0.000019
RAMP2---IAPP	0.000015
ICAM2---ITGAL	0.000015
ICAM2---ITGAM	0.000013
IL7---IL2RG	0.000009
PLA2G2A---ITGA4	0.000007
VCAM1---ITGB2	0.000006
C3---ITGB2	0.000006

normal---CAF	q-value: 4.3593e-06

Ligand---Receptor	contribution
CCR7---CCL21	0.190228
CD63---TIMP1	0.074610
CXCR3---CCL21	0.066296
TIMP1---CD63	0.055641
CCR7---CCL19	0.054468
CD44---VIM	0.034110
ITGB1---COL3A1	0.028883
ITGB1---COL1A2	0.028149
CD44---COL1A2	0.027667
ITGB1---COL1A1	0.024655
CD44---COL1A1	0.024639
CXCR3---CCL19	0.024146
HLA-B---CANX	0.024089
ITGB1---CXCL12	0.019001
CD44---MMP1	0.015548
VIM---CD44	0.013460
ITGB1---PLA2G2A	0.011993
CXCR3---CXCL12	0.009880
ITGA1---COL3A1	0.009521
CD44---FN1	0.008640
HLA-A---APLP2	0.007322
ITGA1---COL1A2	0.007218
ITGA1---COL1A1	0.006961
CANX---HLA-B	0.006441
APLP2---HLA-A	0.006165
ITGB1---FN1	0.005984
C3---CD46	0.005348
ITGB1---VCAM1	0.004611
CXCR4---CXCL12	0.004215
ITGB2---CYR61	0.003979
ITGB2---CTGF	0.002937
PGF---NRP1	0.002728
CD46---C3	0.002312
APP---CD74	0.002305
KLRC1---HLA-E	0.002192
CD74---APP	0.001981
ITGB1---COL6A1	0.001701
CD93---COL1A1	0.001610
LILRA4---BST2	0.001215
ITGB1---FBLN1	0.001146
DDR2---COL1A1	0.001141
ITGB2---C3	0.001075
IFNG---IFNGR1	0.001009
ITGB1---LGALS3BP	0.000999
SEMA3A---NRP1	0.000935
COL1A1---DDR2	0.000845
CCL2---DARC	0.000823
COL1A2---CD44	0.000795
LGALS3BP---ITGB1	0.000655
CD44---HAS2	0.000639
RPSA---LAMB2	0.000634
CD36---COL1A1	0.000619
KLRD1---HLA-B	0.000473
CXCR3---CXCL9	0.000472
HLA-B---KLRD1	0.000471
CXCR3---CCL5	0.000461
CD93---COL1A2	0.000417
CD44---VCAN	0.000365
MET---DCN	0.000315
MFGE8---PDGFRB	0.000254
CHRM3---ARF1	0.000236
SEMA3B---NRP1	0.000191
SELL---CFH	0.000126
CD19---C3	0.000104
ITGB2---VCAM1	0.000100
LILRB2---HLA-B	0.000052
ITGAV---CYR61	0.000012

normal---Endothelial	q-value: 0.0096084

Ligand---Receptor	contribution
CD74---APP	0.206593
CCL5---DARC	0.194737
IL8---DARC	0.081456
CCR7---CCL21	0.080996
APP---CD74	0.060194
CXCR3---CCL21	0.041427
TIMP1---CD63	0.024097
DARC---CCL2	0.023444
CXCL1---DARC	0.022269
LILRB2---HLA-B	0.021924
CD44---VIM	0.016666
LILRB2---HLA-A	0.014234
RPSA---LAMB2	0.010355
LILRB2---HLA-C	0.010010
HLA-B---CANX	0.009536
CXCL5---DARC	0.009068
LILRA3---HLA-C	0.008435
APLP2---HLA-A	0.006645
CD63---TIMP1	0.006485
HLA-A---APLP2	0.006482
TGM2---ITGB1	0.006036
IL2RG---ICAM1	0.005338
DARC---CCL5	0.005277
MIF---TNFRSF14	0.004877
LILRB1---HLA-B	0.004828
CANX---HLA-B	0.004718
KLRD1---HLA-B	0.003158
GRN---TNFRSF1A	0.002643
ITGB2---CYR61	0.002637
CCR1---CCL14	0.002584
IL1B---IL1R1	0.002101
FN1---ITGB1	0.001894
LILRB1---HLA-A	0.001674
NCSTN---APP	0.001364
CD44---SELE	0.001253
KLRD1---HLA-E	0.001201
CXCR3---CXCL9	0.001195
LILRB1---HLA-C	0.001136
SELPLG---SELE	0.001115
ADM---RAMP2	0.001030
TNFRSF14---MIF	0.000932
SERPING1---SELE	0.000871
CD36---THBS1	0.000869
CD38---PECAM1	0.000824
FN1---ITGA5	0.000735
TGM2---SDC4	0.000728
SELL---PODXL	0.000625
ITGB2---ICAM1	0.000577
ITGB2---ICAM2	0.000557
TNFRSF21---APP	0.000511
IFNG---IFNGR1	0.000457
FASLG---TNFRSF6B	0.000387
TYROBP---CD47	0.000385
CYR61---ITGA5	0.000362
HMGB1---THBD	0.000350
PTPRC---MRC1	0.000344
INHBA---ENG	0.000335
ITGAL---ICAM1	0.000325
GZMB---CHRM3	0.000281
ITGB2---HP	0.000274
GSTP1---TRAF2	0.000262
IL1RN---IL1R1	0.000238
IAPP---RAMP2	0.000200
ITGB2---CTGF	0.000199
SPP1---S1PR1	0.000186
ITGAL---ICAM2	0.000155
TNFRSF1B---GRN	0.000151
BMP7---ENG	0.000145
AXL---GAS6	0.000135
HAVCR2---LGALS9	0.000112
HLA-B---KLRD1	0.000096
SPP1---ITGA5	0.000086
CD44---FN1	0.000069
SPP1---ITGB1	0.000062
SCARF1---CALR	0.000043

normal---Macrophage	q-value: 0.00050848

Ligand---Receptor	contribution
ITGB1---SPP1	0.110323
CD44---SPP1	0.110160
APP---CD74	0.053975
CD63---TIMP1	0.051657
TIMP1---CD63	0.047289
DARC---IL8	0.030999
HLA-B---CANX	0.018638
HLA-B---LILRB2	0.016166
KLRC1---HLA-E	0.015052
CD47---TYROBP	0.014608
CANX---HLA-B	0.013575
CD74---APP	0.012120
VIM---CD44	0.011753
HLA-B---LILRB1	0.011641
FCER2---ITGB2	0.011441
CD44---VIM	0.011098
ANXA1---FPR1	0.011005
LILRB2---HLA-B	0.010719
HLA-C---LILRB2	0.010053
CCL3---CCR1	0.009700
IL8---SDC2	0.009558
DARC---CXCL1	0.009545
HLA-A---APLP2	0.009475
KLRD1---HLA-B	0.009455
ITGA4---SPP1	0.008914
DARC---CCL2	0.008825
CCL5---CCR1	0.008745
HLA-C---LILRA3	0.008317
CXCR3---CXCL10	0.008032
HLA-C---LILRB1	0.007986
ITGB1---CD14	0.007661
GRN---TNFRSF1B	0.007158
PSAP---CD1B	0.006994
HLA-A---LILRB2	0.006687
DARC---CCL8	0.006331
LILRB2---HLA-C	0.005994
LILRB2---HLA-A	0.005714
FCER2---ITGAX	0.005489
HLA-A---LILRB1	0.005311
ITGB1---PLAUR	0.005025
LILRA3---HLA-C	0.004599
IL1B---IL1RAP	0.004007
DARC---CXCL5	0.003589
ITGA4---CD14	0.003422
TNFRSF1B---GRN	0.003404
GRN---TNFRSF1A	0.003271
RPS19---C5AR1	0.003229
SDC4---CXCL10	0.003073
CCL4---CCR1	0.002965
ANXA1---FPR3	0.002426
ITGB1---THBS1	0.002392
ICAM1---ITGB2	0.002386
KLRC2---HLA-E	0.002375
ITGA4---F13A1	0.002204
IL1RN---IL1RAP	0.002064
CD180---LY86	0.002000
APLP2---HLA-A	0.001821
CCL5---CCR5	0.001801
IL2RG---ICAM1	0.001731
PLAUR---PLAU	0.001636
SLAMF7---SLAMF7	0.001563
S1PR1---SPP1	0.001486
FN1---PLAUR	0.001474
ITGB2---ICAM1	0.001464
SPP1---CD44	0.001336
ITGB2---C3	0.001257
MIF---TNFRSF14	0.001231
PLAUR---ITGB1	0.001203
KIR2DL3---HLA-C	0.001067
IL10RB---IL10	0.001044
CCL5---SDC4	0.001039
PLAUR---FN1	0.001028
CD9---HBEGF	0.000977
TGM2---ITGB1	0.000877
THY1---ITGB2	0.000862
CD46---C3	0.000847
CD99---PILRA	0.000841
CD44---FN1	0.000798
CD52---SIGLEC10	0.000796
ITGB1---FN1	0.000775
CSF2---CSF1R	0.000763
FPR1---ANXA1	0.000750
ITGA4---PLAUR	0.000716
LILRB1---HLA-B	0.000695
ITGB1---LGALS3BP	0.000691
TNFRSF14---MIF	0.000651
VCAM1---ITGB2	0.000642
FCER2---ITGAM	0.000636
LILRB1---HLA-A	0.000613
CXCR6---CXCL16	0.000591
ITGB2---ICAM2	0.000588
GAS6---AXL	0.000587
ITGB1---F13A1	0.000546
ITGAV---SPP1	0.000535
SCARF1---CALR	0.000488
CYR61---ITGB2	0.000474
IL1RAP---IL1B	0.000466
TNFSF13---TNFRSF14	0.000367
CSF2---SDC2	0.000363
CD48---CD244	0.000360
DARC---CCL5	0.000294
SPP1---ITGB1	0.000262
RAMP2---ADM	0.000251
PLA2G2A---ITGB1	0.000249
ANXA1---FPR2	0.000227
CD44---LGALS9	0.000201
ADRB2---IL1B	0.000198
CSF2---IL3RA	0.000194
LGALS3BP---ITGB1	0.000141
IL1R1---IL1B	0.000128
LAMB1---ITGB1	0.000102
APOD---LEPR	0.000088
LAMA2---RPSA	0.000069
PLA2G2A---ITGA4	0.000066
LRP1---PSAP	0.000063
APP---LRP1	0.000062
CTGF---ITGA5	0.000038
VCAN---TLR2	0.000033
FGF1---NRP1	0.000026
KLRD1---HLA-E	0.000018

normal---NK	q-value: 0.001959

Ligand---Receptor	contribution
HLA-B---KLRD1	0.086942
CCL21---CCR7	0.085604
DARC---CCL5	0.080329
KLRD1---HLA-B	0.062537
LILRB2---HLA-B	0.058381
HLA-E---KLRD1	0.035012
IL1B---ADRB2	0.030424
LILRB2---HLA-C	0.029058
HLA-E---KLRC1	0.026759
LILRA3---HLA-C	0.025352
LILRB2---HLA-A	0.022853
KLRD1---HLA-E	0.022731
VIM---CD44	0.021661
KLRC1---HLA-E	0.021150
TIMP1---CD63	0.018674
LILRB1---HLA-B	0.018096
CCR5---CCL5	0.017818
HLA-B---KIR3DL1	0.017367
KIR2DL3---HLA-C	0.016360
HLA-A---KIR3DL1	0.013051
CCR5---CCL3	0.012295
CXCR3---CCL5	0.012140
CD44---VIM	0.008550
HLA-B---CANX	0.008331
CCL5---CCR1	0.008129
LILRB1---HLA-C	0.006695
CANX---HLA-B	0.006501
IDE---CCL3	0.006416
CD63---TIMP1	0.006247
CD2---CD48	0.005998
HLA-B---LILRB1	0.005902
SDC4---CCL5	0.005185
CCL19---CCR7	0.005060
SELPLG---SELL	0.004912
CCL4---CCR1	0.004761
LILRB1---HLA-A	0.004756
CCR5---CCL4	0.004719
KIR3DL1---HLA-B	0.004396
HLA-C---KIR2DL1	0.004346
CCL3---CCR1	0.004009
CCL3---IDE	0.003996
ICAM1---IL2RG	0.003855
HLA-C---LILRB1	0.003807
KLRC2---HLA-E	0.003606
TYROBP---CD47	0.003291
HLA-A---LILRB1	0.003229
MIF---TNFRSF14	0.002270
SLAMF6---SLAMF6	0.002065
IFNG---IFNGR1	0.001956
CD2---CD58	0.001918
CD48---CD244	0.001818
ICAM2---ITGB2	0.001526
HLA-C---KIR2DL3	0.001485
CCR1---CCL4	0.001359
TNFRSF1A---FASLG	0.001216
APP---CD74	0.001178
CCL5---CXCR3	0.001119
LCK---CD8B	0.000950
HLA-A---APLP2	0.000919
FPR1---ANXA1	0.000876
ICAM1---ITGB2	0.000837
CD8A---LCK	0.000777
CD47---TYROBP	0.000697
APLP2---HLA-A	0.000672
HLA-G---KLRC1	0.000650
KLRC1---HLA-G	0.000643
CCR5---CCL3L3	0.000485
ICAM3---ITGB2	0.000446
CXCL12---CXCR4	0.000264
GNAI2---F2R	0.000247
IL7---IL7R	0.000101
FN1---CD44	0.000096
VCAM1---ITGA4	0.000048
COL1A2---CD44	0.000041

normal---T-cell	q-value: 0.36898

Ligand---Receptor	contribution
CCL21---CCR7	0.123257
DARC---CCL5	0.064878
CCL21---CXCR3	0.058571
KLRD1---HLA-B	0.040687
VIM---CD44	0.039419
CXCR3---CCL5	0.024470
CCL5---CXCR3	0.023308
CD48---CD2	0.023212
CCR5---CCL4	0.022188
SELPLG---SELL	0.021192
CD44---VIM	0.020674
HLA-B---KLRD1	0.020334
HLA-B---CANX	0.020254
CANX---HLA-B	0.015996
LILRB2---HLA-B	0.014894
LCK---CD8A	0.014742
CCL3---CCR5	0.013369
KLRC1---HLA-E	0.012723
KIR2DL3---HLA-C	0.012119
APP---CD74	0.011530
CCL5---CCR5	0.011099
LILRB2---HLA-A	0.010985
KLRD1---HLA-E	0.009982
CCL4---CCR5	0.009955
CCR5---CCL5	0.009814
CD58---CD2	0.009367
CCL5---DARC	0.009331
SDC4---CCL5	0.007912
LILRB2---HLA-C	0.007752
HLA-E---KLRD1	0.007545
KIR2DS4---HLA-C	0.007390
LCK---CD8B	0.007165
CD8A---LCK	0.007146
LILRA3---HLA-C	0.007142
CD74---APP	0.007009
CCL19---CCR7	0.006201
CCL5---CCR4	0.006049
LILRB1---HLA-B	0.005694
SPP1---CD44	0.005264
SPP1---ITGB1	0.005131
MIF---TNFRSF14	0.004894
CCL19---CXCR3	0.004526
SELL---SELPLG	0.004451
LILRB1---HLA-A	0.004318
ICAM1---IL2RG	0.004308
CCL20---CXCR3	0.004292
CCR5---CCL3	0.003760
CCL4---CCR1	0.003286
CCL3---CCR4	0.003172
LILRB1---HLA-C	0.003096
LILRA4---BST2	0.003047
ITGB2---ICAM2	0.002888
CCL4---CCR8	0.002857
CCL5---SDC4	0.002840
HLA-E---KLRC1	0.002804
TIMP1---CD63	0.002798
KLRB1---CLEC2D	0.002269
CCL3---CCR1	0.002238
IL8---DARC	0.002173
APLP2---HLA-A	0.002105
HLA-E---KLRC2	0.002064
CD2---CD48	0.002011
CXCL13---CXCR3	0.001912
KLRC2---HLA-E	0.001900
GZMB---CHRM3	0.001887
KIR3DL1---HLA-B	0.001741
HLA-B---KIR3DL1	0.001704
ITGB2---ICAM3	0.001656
DARC---CXCL1	0.001498
ICAM3---ITGB2	0.001479
SIGLEC10---CD52	0.001470
HLA-A---KIR3DL1	0.001458
TRAF2---GSTP1	0.001424
BTLA---TNFRSF14	0.001363
SPP1---ITGA4	0.001355
ICAM1---ITGB2	0.001344
IL1B---IL1R2	0.001327
TYROBP---CD47	0.001303
VCAM1---ITGB2	0.001299
ITGB1---CD40LG	0.001280
LGALS3BP---ITGB1	0.001216
CXCR3---CXCL13	0.001181
KIR3DL1---HLA-A	0.001156
TNFRSF14---MIF	0.001134
CCR4---CCL5	0.001127
CCL20---CCR6	0.001058
CD8B---LCK	0.001052
GRN---TNFRSF1B	0.001049
HLA-A---APLP2	0.001042
CD244---CD48	0.000971
LAMB2---RPSA	0.000959
HLA-C---KIR2DL1	0.000941
CD55---CD97	0.000866
IL1RN---IL1R2	0.000837
TNFRSF1B---TNF	0.000719
CCL5---CCR1	0.000687
CD63---TIMP1	0.000683
KLRK1---MICA	0.000679
CXCL2---DPP4	0.000657
IL1B---IL1R1	0.000636
CLEC2D---KLRB1	0.000634
CCR10---CXCL13	0.000631
CD44---LGALS9	0.000592
ICAM1---ITGAL	0.000570
CCL3---IDE	0.000566
CD4---IL16	0.000562
CD40---LTB	0.000543
CCL14---CCR5	0.000540
CXCL1---DARC	0.000512
ICAM2---ITGB2	0.000501
CXCL13---CXCR5	0.000499
TNFRSF1B---GRN	0.000495
TNFRSF1A---LTB	0.000494
CEACAM5---CD8A	0.000488
IL2RG---ICAM1	0.000478
HCST---MICA	0.000472
APP---NCSTN	0.000438
PTGDR---GNAS	0.000420
IL1RN---IL1R1	0.000415
IL1B---ADRB2	0.000415
CCL24---CCR2	0.000415
HAVCR2---LGALS9	0.000413
ITGAL---ICAM2	0.000379
ITGAL---ICAM3	0.000363
CCR5---GNAI2	0.000362
CCR1---CCL5	0.000351
CCR5---CCL3L3	0.000344
SELL---CFH	0.000340
LY9---LY9	0.000330
KLRK1---MICB	0.000329
HLA-A---KIR3DL2	0.000328
PRND---RPSA	0.000325
HLA-C---KIR2DL3	0.000318
LTB---TNFRSF1A	0.000317
GZMB---IGF2R	0.000315
TNFRSF1A---GRN	0.000313
CXCL12---CXCR4	0.000308
IL10---IL10RA	0.000307
CLEC2D---FAM3C	0.000306
COL1A2---ITGB1	0.000301
C3---ITGB2	0.000297
ITGB1---LGALS3BP	0.000292
IL8---CXCR2	0.000290
ICAM3---CLEC4M	0.000285
HP---ITGB2	0.000283
CD47---SIRPG	0.000279
GPR75---CCL5	0.000275
LTBR---LTB	0.000270
CXCL5---DARC	0.000264
CD40LG---ITGB1	0.000259
COL1A2---CD44	0.000259
C5orf55---TRAF2	0.000259
ITGB2---ICAM1	0.000257
IGF2R---GZMB	0.000253
ITGB1---VCAM1	0.000252
VCAM1---ITGB1	0.000250
GSTP1---TRAF2	0.000243
LGALS9---CD44	0.000239
CCR5---CCL3L1	0.000238
F11R---ITGB2	0.000237
GNAI2---CCR5	0.000229
THY1---ITGB2	0.000222
GRN---TNFRSF1A	0.000211
IL1B---IL1RAP	0.000207
IDE---CCL3	0.000193
VCAM1---ITGB7	0.000190
CD34---SELL	0.000189
CXCR3---CCL20	0.000188
KCNA3---IL16	0.000186
NAMPT---ADORA2A	0.000182
CD84---CD84	0.000182
IL1RN---IL1RAP	0.000182
RPSA---LAMB2	0.000181
SELPLG---SELP	0.000172
CD48---CD244	0.000169
ITGB1---COL9A2	0.000168
CD79A---BTLA	0.000167
IFNGR1---IFNG	0.000166
PLAUR---ITGB1	0.000165
ARF1---CHRM3	0.000160
ICAM3---ITGAL	0.000159
CTGF---ITGB2	0.000158
CD274---PDCD1	0.000157
MICA---KLRK1	0.000131
CYR61---ITGB2	0.000129
TNFRSF4---TNFSF4	0.000129
RPSA---PRND	0.000126
TNFRSF1A---TNF	0.000124
MFNG---NOTCH2	0.000122
CCR1---CCL4	0.000121
MICA---HCST	0.000120
SELL---PODXL2	0.000117
PTPRC---CD22	0.000115
CD72---SEMA4D	0.000114
CCL3L3---CCR5	0.000110
LGALS9---HAVCR2	0.000110
SLAMF6---SLAMF6	0.000103
C5AR1---RPS19	0.000099
CD2---CD58	0.000098
IL16---CD4	0.000097
ARF1---PLD2	0.000096
CLEC4M---ICAM3	0.000096
IL12RB2---EBI3	0.000093
ITGB2---VCAM1	0.000093
IFNG---IFNGR1	0.000093
PTMA---VIPR1	0.000092
RAET1E---KLRK1	0.000091
SLAMF7---SLAMF7	0.000088
SPP1---S1PR1	0.000088
HCST---MICB	0.000086
TBXA2R---GNAI2	0.000085
FN1---CD44	0.000085
CD44---SPP1	0.000084
GPI---AMFR	0.000082
ADAM15---ITGB1	0.000082
SIRPG---CD47	0.000082
KLRK1---ULBP2	0.000081
ANXA1---FPR3	0.000078
CHRM3---GZMB	0.000074
TNFSF14---TNFRSF14	0.000072
HLA-C---KIR2DS4	0.000071
NCSTN---APP	0.000070
ITGB2---JAM3	0.000066
SEMA4D---CD72	0.000066
FCER2---ITGB2	0.000065
COL10A1---ITGB1	0.000065
SPP1---ITGA5	0.000056
TNFRSF1A---FASLG	0.000055
PILRA---CD99	0.000054
KLRC1---HLA-G	0.000053
CD38---PECAM1	0.000051
GNAS---PTGIR	0.000049
SORL1---APOE	0.000048
NCSTN---PSEN1	0.000046
RTN4---RTN4R	0.000045
IL6ST---IL6	0.000041
TNF---TNFRSF1B	0.000040
CD97---CD55	0.000040
IL7---IL2RG	0.000040
JAM2---ITGA4	0.000040
ITGA4---PLAUR	0.000034
RARRES2---CCRL2	0.000031
ITGB1---SEMA7A	0.000029
CTLA4---CD80	0.000028
LTA---TNFRSF14	0.000028
HMGB1---THBD	0.000027
NOTCH1---MFNG	0.000027
CXCL12---CXCR3	0.000027
PTPRC---MRC1	0.000026
CCL22---CCR4	0.000026
PLXNB2---SEMA4D	0.000025
IL10---IL10RB	0.000024
CXCL16---CXCR6	0.000023
IL6R---IL6	0.000022
VCAM1---ITGA4	0.000021
CFH---SELL	0.000020
CD52---SIGLEC10	0.000020
C3---CD46	0.000018
LTA---TNFRSF1B	0.000018
IL7---IL7R	0.000017
CCL19---CCR10	0.000016
CCL16---CCR8	0.000016
FN1---ITGB7	0.000016
PDCD1LG2---PDCD1	0.000016
JAM2---ITGB1	0.000015
ITGB1---PLAUR	0.000015
IL10RA---IL10	0.000014
CXCR4---CEL	0.000014
IL16---KCNA3	0.000013
HLA-B---LILRB1	0.000012
SCARF1---CALR	0.000012
FN1---ITGB1	0.000010
CD22---PTPRC	0.000010
HLA-A---LILRB1	0.000009
HLA-C---LILRB1	0.000009
ITGAV---CALR	0.000008
PODXL2---SELL	0.000008
CXCL12---CD4	0.000007
GP1BA---ITGB2	0.000006
CCL19---CCRL2	0.000005
ICAM2---ITGAL	0.000005
FN1---ITGA5	0.000005
VCAM1---ITGAD	0.000004
RAMP2---IAPP	0.000004
FN1---ITGA4	0.000003
CALR---TSHR	0.000003
COL1A1---CD44	0.000002
JAM3---ITGB2	0.000001

normal---malignant	q-value: 0.36898

Ligand---Receptor	contribution
CD63---TIMP1	0.327699
TIMP1---CD63	0.266285
CD74---APP	0.085444
VIM---CD44	0.037737
CD44---VIM	0.029570
HLA-B---CANX	0.025239
MIF---TNFRSF14	0.019740
CANX---HLA-B	0.017385
CD44---FN1	0.010119
KLRD1---HLA-B	0.007411
ITGB1---FN1	0.006520
APLP2---HLA-A	0.006380
LEPR---APOD	0.005647
HLA-A---APLP2	0.004932
CXCR3---CXCL10	0.004054
SPP1---CD44	0.003389
FPR1---SAA1	0.003277
TGM2---ITGB1	0.003154
CD44---SPP1	0.003123
LILRB2---HLA-B	0.002915
TGM2---GPR56	0.002875
GSTP1---TRAF2	0.002845
LGALS3BP---ITGB1	0.002704
SPP1---ITGB1	0.002598
LRP1---SERPINE2	0.002418
ITGB1---LGALS3BP	0.002401
ITGB1---SPP1	0.002276
NTS---SORT1	0.002234
TNFRSF14---MIF	0.001904
CCL3---CCR5	0.001878
CAV1---APP	0.001680
PLAUR---FN1	0.001677
RPSA---LAMB2	0.001594
S1PR1---SPP1	0.001535
LILRB2---HLA-A	0.001482
SDC4---CXCL10	0.001421
KLRD1---HLA-E	0.001165
PLAUR---ITGB1	0.001120
SORT1---GRN	0.001061
LILRB2---HLA-C	0.000959
TGM2---SDC4	0.000939
FPR1---ANXA1	0.000929
SCARB1---APOE	0.000923
FN1---CD44	0.000855
LILRA3---HLA-C	0.000730
ITGA3---FN1	0.000704
HLA-B---KLRD1	0.000692
KIR2DL3---HLA-C	0.000672
NT5E---FN1	0.000638
FPR2---ANXA1	0.000570
LILRB1---HLA-B	0.000524
THBS2---ITGB1	0.000481
CCL5---SDC4	0.000462
ITGB5---FN1	0.000441
ITGA9---FN1	0.000421
CD44---COL1A2	0.000408
ITGA5---FN1	0.000392
APOE---VLDLR	0.000383
KIR3DL1---HLA-B	0.000377
TGM2---ITGB3	0.000360
PLAUR---ITGB3	0.000357
MIA---CDH7	0.000322
MFGE8---ITGB3	0.000311
SPP1---ITGB3	0.000300
KLRC1---HLA-E	0.000298
LILRB1---HLA-A	0.000257
FN1---ITGB1	0.000243
APOE---SCARB1	0.000234
CXCR3---CXCL9	0.000232
CXCR6---CXCL16	0.000213
HCST---MICA	0.000205
IL10RB---UCN2	0.000197
ITGB1---CD14	0.000196
TNFRSF1A---GRN	0.000195
SPP1---ITGA9	0.000193
NRP1---SEMA3B	0.000189
KIR3DL1---HLA-A	0.000185
HLA-C---LILRB2	0.000179
CCL4---CCR5	0.000178
LILRB1---HLA-C	0.000170
CAV1---GNAI2	0.000168
HLA-C---LILRB1	0.000167
ITGB2---ICAM1	0.000166
TNFRSF10D---MIF	0.000166
CCL5---CCR5	0.000160
CCL5---CCR1	0.000160
CXCR3---CXCL11	0.000152
LAMB2---RPSA	0.000143
ITGA9---SPP1	0.000138
ITGA5---SPP1	0.000128
CD9---HBEGF	0.000124
COL1A2---CD44	0.000113
TNFSF4---TRAF2	0.000108
RAMP2---ADM	0.000105
SEMA4D---PLXNB2	0.000103
TYROBP---CD47	0.000103
ITGB2---CTGF	0.000096
FN1---ITGB5	0.000096
CRTAM---CADM1	0.000095
PSAP---GPR37	0.000094
GRN---TNFRSF1A	0.000091
LRP1---APOE	0.000091
ITGB1---TGM2	0.000090
FN1---PLAUR	0.000073
CSPG4---ITGB1	0.000070
THBS2---CD47	0.000069
IL1B---IL1RAP	0.000069
ITGB1---COL1A2	0.000068
GRN---SORT1	0.000067
HSP90AA1---EGFR	0.000061
APOD---LEPR	0.000056
F2R---GNAI2	0.000055
CD2---CD58	0.000049
TMEM222---PRSS23	0.000046
TNFSF13---TNFRSF14	0.000045
THBS2---ITGA6	0.000044
APOE---LDLR	0.000043
CD44---HBEGF	0.000042
FPR3---ANXA1	0.000041
ANXA1---DYSF	0.000038
RPSA---LAMA1	0.000036
COL9A3---ITGB1	0.000034
THBD---HMGB1	0.000032
PTDSS1---SCARB1	0.000031
RPS19---C5AR1	0.000030
COL9A3---ITGA10	0.000027
LTB---LTBR	0.000024
FN1---ITGA10	0.000024
TNFRSF1B---GRN	0.000021
CD47---SIRPA	0.000019
LRP1---A2M	0.000018
PRND---RPSA	0.000018
ARF1---PLD2	0.000014
PSEN1---NCSTN	0.000014
LDLR---APOE	0.000014
HLA-B---LILRB1	0.000011
GNAI2---CAV1	0.000009
TNFSF14---LTBR	0.000005
SPP1---ITGAV	0.000003
TNFSF14---TNFRSF14	0.000001
GFRAL---GDF15	0.000001

